id,type,host_Z,visits_needed,visits_done,started,completed
350,Ia,22.073,1,1,1,1
351,Ia,25.145,126,9,1,0
352,Ia,22.719,2,2,1,1
353,Ia,21.802,1,0,0,0
354,Ia,22.570,2,0,0,0
355,Ia,21.585,1,0,0,0
356,Ia,23.399,6,6,1,1
357,Ia,23.043,3,0,0,0
358,Ia,21.802,1,1,1,1
359,Ia,22.543,2,2,1,1
360,Ia,22.835,2,2,1,1
361,Ia,21.163,1,1,1,1
363,Ia,21.869,1,1,1,1
364,Ia,23.172,4,4,1,1
365,Ia,22.321,1,1,1,1
366,Ia,18.068,1,0,0,0
367,Ia,20.551,1,1,1,1
368,Ia,23.077,3,3,1,1
369,Ia,21.115,1,0,0,0
370,Ia,20.332,1,0,0,0
371,Ia,22.426,1,1,1,1
372,Ia,20.960,1,1,1,1
373,Ia,20.805,1,1,1,1
375,Ia,20.983,1,0,0,0
376,Ia,22.243,1,1,1,1
377,Ia,24.095,19,0,0,0
378,Ia,24.090,19,19,1,1
379,Ia,19.182,1,0,0,0
380,Ia,19.906,1,0,0,0
381,Ia,21.836,1,1,1,1
382,Ia,22.153,1,1,1,1
383,Ia,24.255,24,24,1,1
384,Ia,22.878,2,0,0,0
385,Ia,21.473,1,1,1,1
386,Ia,23.323,5,5,1,1
387,Ia,21.659,1,1,1,1
388,Ia,23.098,3,3,1,1
389,Ia,20.418,1,0,0,0
390,Ia,21.645,1,1,1,1
391,Ia,22.854,2,0,0,0
392,Ia,19.983,1,0,0,0
393,Ia,24.021,16,7,1,0
394,Ia,23.713,9,3,1,0
395,Ia,20.335,1,0,0,0
396,Ia,21.534,1,1,1,1
397,Ia,21.275,1,1,1,1
398,Ia,20.810,1,0,0,0
399,Ia,22.814,2,2,1,1
400,Ia,22.738,2,2,1,1
401,Ia,20.700,1,0,0,0
402,Ia,21.529,1,1,1,1
403,Ia,22.264,1,0,0,0
404,Ia,23.453,6,6,1,1
405,Ia,19.152,1,1,1,1
406,Ia,23.220,4,0,0,0
407,Ia,24.721,57,0,0,0
408,Ia,22.554,2,2,1,1
409,Ia,24.442,35,0,0,0
410,Ia,19.948,1,0,0,0
411,Ia,21.000,1,1,1,1
412,Ia,22.079,1,0,0,0
413,Ia,23.356,5,5,1,1
414,Ia,21.146,1,1,1,1
415,Ia,23.102,3,3,1,1
416,Ia,22.852,2,2,1,1
417,Ia,22.116,1,1,1,1
418,Ia,21.384,1,1,1,1
419,Ia,21.560,1,1,1,1
420,Ia,22.565,2,0,0,0
421,Ia,23.985,15,15,1,1
422,Ia,22.332,1,1,1,1
423,Ia,20.846,1,0,0,0
424,Ia,21.124,1,1,1,1
425,Ia,21.827,1,1,1,1
426,Ia,20.053,1,1,1,1
427,Ia,21.312,1,1,1,1
428,Ia,24.165,21,21,1,1
429,Ia,22.448,1,1,1,1
430,Ia,20.668,1,1,1,1
431,Ia,23.222,4,4,1,1
432,Ia,23.235,4,0,0,0
433,Ia,22.284,1,1,1,1
434,Ia,20.265,1,0,0,0
435,Ia,24.905,81,28,1,0
436,Ia,23.322,5,5,1,1
437,Ia,23.678,9,9,1,1
438,Ia,21.223,1,1,1,1
440,Ia,22.185,1,0,0,0
441,Ia,20.494,1,1,1,1
442,Ia,21.641,1,0,0,0
443,Ia,22.160,1,0,0,0
444,Ia,22.034,1,1,1,1
445,Ia,20.872,1,1,1,1
446,Ia,22.947,3,0,0,0
447,Ia,18.631,1,1,1,1
448,Ia,21.770,1,1,1,1
449,Ia,21.523,1,1,1,1
450,Ia,22.180,1,1,1,1
451,Ia,23.369,5,5,1,1
452,Ia,23.448,6,6,1,1
453,Ia,20.548,1,1,1,1
454,Ia,21.453,1,1,1,1
455,Ia,20.311,1,1,1,1
456,Ia,22.461,1,0,0,0
457,Ia,21.587,1,0,0,0
458,Ia,20.675,1,0,0,0
459,Ia,18.759,1,1,1,1
460,Ia,21.906,1,1,1,1
461,Ia,21.009,1,0,0,0
463,Ia,21.507,1,0,0,0
464,Ia,23.744,10,10,1,1
465,Ia,23.611,8,8,1,1
466,Ia,18.117,1,0,0,0
467,Ia,24.551,42,13,1,0
468,Ia,23.087,3,3,1,1
469,Ia,20.157,1,1,1,1
470,Ia,25.014,97,0,0,0
471,Ia,22.858,2,2,1,1
472,Ia,21.281,1,1,1,1
473,Ia,22.543,2,0,0,0
474,Ia,21.062,1,1,1,1
475,Ia,21.600,1,1,1,1
476,Ia,21.043,1,1,1,1
477,Ia,21.040,1,0,0,0
478,Ia,23.024,3,0,0,0
479,Ia,22.778,2,2,1,1
480,Ia,22.939,3,3,1,1
481,Ia,21.164,1,1,1,1
482,Ia,19.177,1,1,1,1
483,Ia,23.245,4,4,1,1
484,Ia,23.315,5,5,1,1
485,Ia,24.283,26,9,1,0
486,Ia,21.264,1,0,0,0
487,Ia,25.303,167,9,1,0
488,Ia,22.057,1,0,0,0
489,Ia,22.925,3,3,1,1
490,Ia,24.126,20,1,1,0
491,Ia,22.859,2,2,1,1
492,Ia,21.261,1,0,0,0
493,Ia,22.730,2,2,1,1
494,Ia,19.509,1,1,1,1
495,Ia,22.198,1,1,1,1
496,Ia,19.336,1,0,0,0
498,Ia,19.118,1,1,1,1
499,Ia,23.030,3,0,0,0
500,Ia,20.269,1,1,1,1
501,Ia,23.540,7,7,1,1
502,Ia,18.618,1,1,1,1
503,Ia,23.109,4,0,0,0
504,Ia,20.556,1,1,1,1
505,Ia,24.798,66,5,1,0
506,Ia,20.402,1,0,0,0
507,Ia,24.901,80,9,1,0
508,Ia,23.107,4,0,0,0
509,Ia,20.898,1,0,0,0
510,Ia,22.183,1,1,1,1
511,Ia,22.587,2,0,0,0
513,Ia,23.784,11,9,1,0
514,Ia,21.277,1,1,1,1
515,Ia,21.927,1,0,0,0
516,Ia,20.899,1,1,1,1
517,Ia,19.871,1,0,0,0
