field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,2606379,242.35587,55.23946,0.3822,23.086
ELAIS-N1,1980087,242.71408,53.46595,0.6930,22.755
ELAIS-N1,1521299,240.97959,55.71899,0.7635,24.989
ELAIS-N1,756298,243.64958,54.25642,1.3768,23.175
ELAIS-N1,1429980,243.12697,53.84824,0.8382,27.677
ELAIS-N1,962999,246.15043,54.18500,0.8879,25.534
ELAIS-N1,1631663,242.40793,55.87276,0.5725,23.896
ELAIS-N1,1598352,244.22979,53.54694,0.5888,24.379
ELAIS-N1,655288,242.51545,54.20873,0.7390,22.164
ELAIS-N1,2355653,242.88291,53.80285,0.8372,21.364
ELAIS-N1,940462,244.59157,54.07801,0.1513,22.534
ELAIS-N1,824689,239.68425,53.63238,0.2421,19.247
ELAIS-N1,1876649,241.79641,53.72789,0.3498,21.197
ELAIS-N1,164276,242.16872,54.01501,0.5516,23.079
ELAIS-N1,1951244,241.82770,53.27184,0.4590,23.325
ELAIS-N1,2716843,241.90440,55.08192,0.8288,22.797
ELAIS-N1,3100685,240.47966,53.17536,0.5874,25.934
ELAIS-N1,262650,243.76209,52.62009,0.6741,22.048
ELAIS-N1,943117,242.85824,53.86297,1.0462,22.897
ELAIS-N1,69493,243.66175,53.78880,1.6116,23.055
ELAIS-N1,988399,239.72732,54.83250,0.9629,23.294
ELAIS-N1,2636683,241.44539,54.19649,1.1535,26.809
ELAIS-N1,3263168,242.48608,55.07148,0.8738,23.740
ELAIS-N1,1633601,239.04957,54.85545,0.8418,22.854
ELAIS-N1,2060024,240.87496,52.83839,0.6866,22.880
ELAIS-N1,2806225,243.80054,54.17274,1.3206,25.135
ELAIS-N1,1174029,240.85891,54.75966,1.1956,23.741
ELAIS-N1,3272850,242.81779,53.55818,1.3016,23.071
ELAIS-N1,3207334,241.14509,55.77749,0.5915,25.462
ELAIS-N1,461380,244.02711,53.25911,0.6256,25.794
ELAIS-N1,1365952,242.93588,54.98867,1.0226,25.272
ELAIS-N1,2394342,241.65004,54.00481,0.9677,24.852
ELAIS-N1,2906026,242.97143,54.78390,1.7143,25.536
ELAIS-N1,3179153,243.42121,53.88643,1.8145,25.615
ELAIS-N1,131111,240.72139,55.03612,0.5120,24.948
ELAIS-N1,285905,242.11235,54.31687,0.6279,23.720
ELAIS-N1,69343,243.02921,54.34911,1.1666,23.068
ELAIS-N1,44074,241.91240,54.50264,1.2819,22.885
ELAIS-N1,721409,242.90962,55.86144,0.5158,22.571
ELAIS-N1,2302024,241.01603,54.11418,0.8278,23.478
ELAIS-N1,3036797,243.04228,54.79225,0.7430,22.167
ELAIS-N1,1274795,244.78272,54.13622,1.0260,25.912
ELAIS-N1,2566167,244.94970,53.03673,0.4389,20.301
ELAIS-N1,2930955,240.74038,54.08862,0.7325,25.437
ELAIS-N1,2485741,241.51653,54.59140,0.7755,22.495
ELAIS-N1,164442,240.28996,54.58118,1.1500,23.123
ELAIS-N1,1572803,243.34988,54.14692,1.4809,23.470
ELAIS-N1,1048044,240.58113,53.66616,0.3579,23.421
ELAIS-N1,1710503,240.87160,53.66760,0.9539,22.242
ELAIS-N1,2187646,243.04648,54.04086,1.2399,29.271
ELAIS-N1,2035641,241.99887,54.54493,0.6604,20.781
ELAIS-N1,2612776,243.96536,53.10651,0.2321,21.179
ELAIS-N1,2073948,241.95706,55.10725,1.1086,23.511
ELAIS-N1,197677,243.14573,54.98787,1.6270,27.744
ELAIS-N1,2233317,244.24285,53.23603,0.6809,22.675
ELAIS-N1,2908544,242.71883,54.17291,1.1568,25.465
