field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,1733348,239.10029,54.59277,0.9588,24.120
ELAIS-N1,1486866,244.91112,54.07687,1.5182,25.382
ELAIS-N1,435343,243.41961,56.19579,0.6379,23.391
ELAIS-N1,966731,243.05629,54.74860,2.4730,-9.000
ELAIS-N1,1688132,242.98757,56.43445,1.3389,24.502
ELAIS-N1,368266,243.81900,55.33533,0.6304,23.552
ELAIS-N1,1273340,241.80844,53.68043,1.2622,24.612
ELAIS-N1,3097874,245.30879,55.83751,0.9524,24.011
ELAIS-N1,1977397,240.60040,54.92831,1.6290,25.555
ELAIS-N1,1935830,243.10465,55.08399,1.8480,26.809
ELAIS-N1,175780,243.65285,56.45831,0.7963,24.001
ELAIS-N1,343168,242.74827,53.01870,1.5177,26.355
ELAIS-N1,737287,243.95305,56.18385,1.2453,24.578
ELAIS-N1,2955820,241.05152,54.40090,1.3933,24.512
ELAIS-N1,2145084,240.40444,56.04057,1.3982,25.121
ELAIS-N1,523123,243.70771,52.89825,1.8073,26.287
ELAIS-N1,1600368,242.48969,56.27934,1.4392,25.387
ELAIS-N1,2163661,239.61737,54.04085,1.2065,25.268
ELAIS-N1,492839,242.81555,54.31692,1.2964,24.681
ELAIS-N1,1642406,245.64274,54.42489,1.4334,25.692
ELAIS-N1,591009,244.92898,53.18726,1.0347,24.119
ELAIS-N1,2674641,243.43728,56.37480,0.9079,24.024
ELAIS-N1,1437575,242.17614,54.89238,2.0608,27.927
ELAIS-N1,479446,239.81689,54.83247,0.6813,23.534
ELAIS-N1,950355,239.66986,53.58426,0.4699,22.204
ELAIS-N1,137196,244.05933,53.37980,1.2050,24.292
ELAIS-N1,2054866,243.36823,53.95678,1.1075,24.433
ELAIS-N1,796160,240.25596,53.93276,1.7097,26.093
ELAIS-N1,816589,242.58070,55.14385,1.0383,24.547
ELAIS-N1,2261995,242.25465,54.40090,1.3089,24.941
ELAIS-N1,353041,244.73200,54.04085,0.7398,23.171
ELAIS-N1,2471084,239.44426,54.60476,1.0748,24.182
ELAIS-N1,2416723,242.24728,54.76058,2.1914,-9.000
ELAIS-N1,1472110,242.80204,54.65271,0.5355,22.881
ELAIS-N1,2551832,242.23960,53.99281,0.7298,23.510
ELAIS-N1,85687,244.66570,54.05285,1.4074,25.323
ELAIS-N1,2821695,241.54368,54.94029,0.8292,23.491
ELAIS-N1,2887593,243.35621,53.60830,0.5816,22.961
ELAIS-N1,60774,244.29218,55.43104,1.3055,25.279
ELAIS-N1,2351713,243.09958,54.32891,1.4889,25.564
ELAIS-N1,328347,244.25866,54.13690,1.7546,26.802
ELAIS-N1,175996,242.25685,54.43688,1.2823,24.469
ELAIS-N1,3142418,241.69101,53.41589,0.9280,23.854
ELAIS-N1,411764,241.96513,53.00665,1.3488,25.051
ELAIS-N1,234740,243.63293,54.68867,1.8309,26.276
ELAIS-N1,2430867,242.78306,53.36777,1.6706,26.113
ELAIS-N1,3186056,243.40171,54.64073,2.1655,-9.000
ELAIS-N1,1971836,242.90816,54.74860,1.6216,26.551
ELAIS-N1,1846569,240.20522,53.48806,1.7343,26.466
ELAIS-N1,1063854,242.48529,54.48485,2.8462,-9.000
ELAIS-N1,320722,244.61124,54.47286,2.0893,26.931
ELAIS-N1,644551,243.62745,52.64516,1.0484,23.922
ELAIS-N1,1994481,240.29365,53.81263,1.1601,24.237
ELAIS-N1,1613779,240.37055,54.77256,1.6688,25.623
ELAIS-N1,693858,241.55448,55.19173,0.9324,24.272
ELAIS-N1,1454431,243.33388,54.65271,0.6850,23.360
ELAIS-N1,837104,241.13181,53.51211,0.7384,23.453
ELAIS-N1,207020,241.74191,52.65721,1.6247,25.665
ELAIS-N1,2881032,244.25328,55.52672,1.5072,25.332
ELAIS-N1,1510407,241.34211,52.44014,1.1077,24.414
ELAIS-N1,645214,242.54213,54.17291,0.4974,22.511
ELAIS-N1,2279485,240.04278,53.33167,1.0136,23.862
ELAIS-N1,1785117,242.80378,53.77658,1.4395,26.321
ELAIS-N1,466241,242.16065,53.63235,1.3377,24.945
ELAIS-N1,667438,244.15680,54.70066,1.0442,24.025
ELAIS-N1,2454567,239.61255,55.43104,1.6958,26.117
ELAIS-N1,2171047,244.34342,55.10794,1.1698,24.808
ELAIS-N1,1703669,239.25420,54.76058,0.6893,23.857
ELAIS-N1,3135407,240.98799,54.22092,1.1839,24.346
ELAIS-N1,2542815,240.22568,55.31140,1.5351,25.163
ELAIS-N1,2025959,243.81052,54.02884,1.7054,26.013
ELAIS-N1,2680928,241.53959,54.37690,1.7507,26.456
ELAIS-N1,1109553,240.63173,54.44887,1.7326,26.140
ELAIS-N1,389566,239.82027,54.14890,1.4679,25.589
ELAIS-N1,1224461,241.38034,52.99461,1.7079,25.720
ELAIS-N1,924946,241.57001,56.23160,0.6566,23.104
ELAIS-N1,2853660,241.07776,54.62874,2.4458,-9.000
ELAIS-N1,1366652,243.97187,54.08887,0.7723,23.813
ELAIS-N1,1651288,243.19706,56.12416,1.3253,25.560
ELAIS-N1,3011646,243.53370,54.17291,1.9867,27.526
ELAIS-N1,1266653,242.46313,54.59277,0.7008,23.636
ELAIS-N1,188100,242.18637,54.56879,0.6914,22.993
ELAIS-N1,933586,240.18884,55.93308,0.9983,24.837
ELAIS-N1,126890,245.22439,54.30492,1.7843,25.958
ELAIS-N1,2344105,244.49755,54.42489,1.7987,26.126
ELAIS-N1,2571265,245.73875,54.41289,1.5304,25.510
ELAIS-N1,676712,240.36447,53.17522,1.3645,25.076
ELAIS-N1,3266224,243.56362,54.98820,1.6647,26.292
ELAIS-N1,2130458,240.02441,54.32891,1.0374,23.961
ELAIS-N1,311608,243.48689,54.60476,0.9372,23.877
ELAIS-N1,2171851,241.05634,52.86210,1.8868,26.214
ELAIS-N1,2911009,241.32572,54.95227,2.0782,28.184
ELAIS-N1,2685258,242.77401,55.83751,0.9592,23.934
ELAIS-N1,1288097,241.89459,53.29558,0.9209,24.067
ELAIS-N1,707726,243.18182,54.37690,0.7098,23.596
ELAIS-N1,2791008,241.97848,52.71749,0.9466,23.768
ELAIS-N1,1106547,243.77633,55.31140,1.0734,24.356
ELAIS-N1,3306241,242.32030,54.97622,1.2354,25.255
ELAIS-N1,1630729,240.38814,54.56879,0.7899,23.976
ELAIS-N1,1934935,240.87986,52.94643,1.0120,24.086
ELAIS-N1,1242023,244.23193,55.34730,1.5895,25.611
ELAIS-N1,2887168,243.40349,56.13610,1.9625,27.239
ELAIS-N1,2212119,243.95869,56.05252,1.6972,25.591
ELAIS-N1,3021443,242.39290,53.66841,1.2099,25.006
ELAIS-N1,386088,240.60425,53.96879,0.2652,21.607
ELAIS-N1,2759126,244.94196,56.05252,0.7073,23.426
ELAIS-N1,914397,240.38187,55.84946,0.9366,24.239
ELAIS-N1,2990285,241.03631,53.86068,0.7071,22.977
ELAIS-N1,2798719,243.52143,55.37123,0.9712,24.037
ELAIS-N1,86347,243.85174,54.05285,1.6226,26.704
ELAIS-N1,1244681,239.56143,54.67669,0.4827,22.792
ELAIS-N1,3189002,242.80666,52.65721,1.1115,24.418
ELAIS-N1,1251156,243.58430,55.89724,1.5436,25.573
ELAIS-N1,2047164,242.06947,54.41289,1.7980,26.717
ELAIS-N1,935713,244.14551,54.34091,1.4199,25.076
ELAIS-N1,1223354,241.13003,56.31514,0.8363,23.620
ELAIS-N1,1415848,241.16408,53.31964,0.6988,23.423
ELAIS-N1,314992,245.33523,55.40712,1.1511,23.857
ELAIS-N1,221716,239.62131,54.60476,1.1287,24.573
ELAIS-N1,204366,243.77942,52.95848,1.3109,24.819
ELAIS-N1,1133208,242.08252,54.12489,1.2267,25.042
ELAIS-N1,997988,243.00000,55.26354,0.8489,24.173
ELAIS-N1,761927,243.21815,54.56879,1.5914,25.194
ELAIS-N1,2504606,242.98319,52.64516,1.5670,26.299
ELAIS-N1,2635142,245.65007,55.29944,0.8691,23.761
ELAIS-N1,754268,243.77493,55.10794,1.3473,25.229
ELAIS-N1,2295140,244.97712,54.49685,1.2450,24.382
ELAIS-N1,780840,241.26259,54.28092,1.2431,24.927
ELAIS-N1,3266033,243.28220,55.61042,1.6844,25.577
ELAIS-N1,1285386,242.70050,55.14385,1.4515,25.514
ELAIS-N1,2965341,241.40359,53.11503,0.9707,24.278
ELAIS-N1,2811268,240.67742,55.86140,0.9753,24.584
ELAIS-N1,798875,244.11716,55.04807,1.4733,25.335
ELAIS-N1,1337949,240.21930,54.26892,1.5561,25.210
ELAIS-N1,1547668,243.62742,55.22764,0.6841,23.258
ELAIS-N1,2448478,242.09562,54.18491,2.1692,-9.000
ELAIS-N1,2565005,240.87793,55.32337,1.6135,26.126
ELAIS-N1,881373,242.03954,53.87270,2.5198,-9.000
ELAIS-N1,763214,243.60605,54.31692,1.1843,24.252
ELAIS-N1,731094,243.55038,53.33167,0.7633,23.112
ELAIS-N1,1837424,242.57211,53.34371,0.8410,23.931
ELAIS-N1,550031,241.38806,55.02412,1.8659,26.241
ELAIS-N1,1479000,242.54261,52.47633,0.9990,24.113
ELAIS-N1,1639032,242.14497,54.70066,1.1590,24.264
ELAIS-N1,1937222,241.22855,54.13690,1.1813,24.547
ELAIS-N1,575914,241.47583,56.19579,0.4365,22.421
ELAIS-N1,1302256,243.04530,55.44300,1.2605,25.359
ELAIS-N1,905547,241.86753,55.06005,0.4712,22.552
ELAIS-N1,1339325,242.01792,54.36491,1.7319,26.295
ELAIS-N1,416525,241.10812,53.35574,1.0505,24.133
ELAIS-N1,2065327,245.60874,55.22764,1.6408,25.816
ELAIS-N1,964621,238.87948,55.06005,0.6596,23.639
ELAIS-N1,2417168,241.30117,54.26892,2.5897,-9.000
ELAIS-N1,3180382,242.88837,52.50045,1.0307,23.968
ELAIS-N1,3110132,244.66954,53.62033,1.9941,26.776
ELAIS-N1,945563,242.06746,54.02884,1.5965,26.466
ELAIS-N1,2232834,242.45410,54.60476,1.5631,25.726
ELAIS-N1,2873793,244.60426,55.11991,1.1880,24.504
ELAIS-N1,2509796,241.23512,54.91633,1.3968,24.982
ELAIS-N1,2271218,241.91989,53.60830,2.2339,-9.000
ELAIS-N1,3008026,243.17641,53.86068,1.8601,27.075
ELAIS-N1,2955149,244.03677,54.32891,0.8775,23.685
ELAIS-N1,253916,241.55325,54.70066,2.4632,-9.000
ELAIS-N1,1047708,244.34522,56.19579,1.2801,24.599
ELAIS-N1,171182,242.15025,52.94643,1.6688,25.309
ELAIS-N1,2393250,240.17675,53.52413,0.9549,23.689
ELAIS-N1,773020,241.19241,54.22092,0.9740,23.834
ELAIS-N1,281852,243.53392,56.00475,1.4150,25.310
ELAIS-N1,591753,242.83213,54.53282,0.9164,24.122
ELAIS-N1,1466924,241.95505,54.10088,0.8559,23.734
ELAIS-N1,1773679,243.62991,54.85644,2.5852,-9.000
ELAIS-N1,1847296,241.70388,54.12489,1.7205,25.131
ELAIS-N1,305099,242.00421,54.11289,2.5665,-9.000
ELAIS-N1,3102561,245.68073,53.65639,0.9902,23.861
ELAIS-N1,1091702,240.49786,54.68867,1.7701,26.769
ELAIS-N1,669898,241.84623,53.66841,1.5656,25.647
ELAIS-N1,352370,243.55189,53.04278,1.7151,25.877
ELAIS-N1,508020,243.41303,53.81263,0.7845,23.544
ELAIS-N1,2072433,241.11372,52.89825,0.8139,23.742
ELAIS-N1,2362587,240.21681,55.50280,0.5940,23.044
ELAIS-N1,2779912,243.49065,52.68133,1.1082,24.018
ELAIS-N1,3298327,244.42027,55.08399,1.3454,24.711
