field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,2448478,242.09540,54.18456,2.1692,23.916
ELAIS-N1,2565005,240.87640,55.32110,1.6135,22.529
ELAIS-N1,731094,243.55046,53.33215,0.7633,23.726
ELAIS-N1,1837424,242.57201,53.34336,0.8410,21.497
ELAIS-N1,1479000,242.53978,52.47686,0.9990,22.652
ELAIS-N1,1937222,241.23532,54.14152,1.1813,22.576
ELAIS-N1,575914,241.46623,56.17842,0.4365,19.456
ELAIS-N1,1302256,243.04737,55.44576,1.2605,23.151
ELAIS-N1,416525,241.10911,53.35578,1.0505,22.601
ELAIS-N1,2065327,245.60622,55.22854,1.6408,23.922
ELAIS-N1,964621,238.92577,55.06470,0.6596,20.417
ELAIS-N1,3180382,242.88855,52.50050,1.0307,23.872
ELAIS-N1,2509796,241.23500,54.91689,1.3968,23.372
ELAIS-N1,1047708,244.34518,56.19328,1.2801,23.069
ELAIS-N1,591753,242.83305,54.53323,0.9164,23.260
ELAIS-N1,1466924,241.95767,54.10100,0.8559,23.780
ELAIS-N1,3102561,245.68068,53.65636,0.9902,23.323
ELAIS-N1,508020,243.41438,53.81219,0.7845,20.669
ELAIS-N1,2362587,240.22527,55.50248,0.5940,20.752
ELAIS-N1,2779912,243.49058,52.68160,1.1082,23.827
ELAIS-N1,2703755,244.06670,54.95268,1.6786,23.958
ELAIS-N1,3094140,240.98811,54.96445,0.3412,22.031
ELAIS-N1,508258,245.22680,55.19504,0.7749,21.410
ELAIS-N1,1629464,244.60791,56.08712,1.5259,23.218
ELAIS-N1,2441117,242.80377,53.93005,0.7755,21.572
ELAIS-N1,448810,242.90914,53.03091,0.4275,23.170
ELAIS-N1,1054319,242.74223,55.40519,0.8917,22.212
ELAIS-N1,1542560,240.03508,54.85779,1.6360,23.269
ELAIS-N1,434709,241.33720,54.18486,0.5389,21.114
ELAIS-N1,793506,245.60022,55.10796,0.6732,22.165
ELAIS-N1,1592464,243.49635,54.47445,1.4144,23.779
ELAIS-N1,2923025,240.48851,53.34432,0.6504,21.583
ELAIS-N1,2475375,241.44876,56.04075,0.6991,21.199
ELAIS-N1,3079302,242.09103,52.59631,0.8342,20.915
ELAIS-N1,1947553,241.78878,55.89654,1.2237,23.542
ELAIS-N1,2505871,241.11578,54.89728,0.8973,22.183
ELAIS-N1,899264,241.37258,55.49296,1.8941,22.175
ELAIS-N1,2600098,241.80539,54.37775,0.9539,21.826
ELAIS-N1,974622,242.35707,54.80866,0.8014,21.813
ELAIS-N1,1387018,242.07660,54.01682,1.2446,23.629
ELAIS-N1,1267469,245.04646,55.34738,0.9904,21.869
ELAIS-N1,495426,243.48304,54.97745,1.2550,23.362
ELAIS-N1,798137,240.90888,52.98220,1.3297,22.812
ELAIS-N1,2959063,241.46387,55.55058,1.0473,22.577
ELAIS-N1,877640,241.41621,55.96831,1.3566,22.340
ELAIS-N1,1649474,241.15512,54.07623,0.8311,21.466
ELAIS-N1,175869,240.68657,55.85616,0.9710,20.554
ELAIS-N1,2490023,242.02670,55.58718,0.1386,22.972
ELAIS-N1,1038788,242.67140,55.50595,0.7880,22.132
ELAIS-N1,1697001,242.51170,53.58244,1.5655,23.621
ELAIS-N1,2402425,244.01129,53.57272,0.3168,21.426
ELAIS-N1,3282057,244.27013,53.82497,1.5263,23.730
ELAIS-N1,2922950,242.72846,53.45846,0.7822,21.313
ELAIS-N1,110747,239.57197,55.01335,0.4000,21.857
ELAIS-N1,1031852,240.04288,53.73015,0.9136,21.179
ELAIS-N1,2239785,244.07163,53.06663,0.5552,19.475
ELAIS-N1,1086446,245.00647,55.51968,0.8451,22.260
ELAIS-N1,18676,242.28546,54.24219,2.1494,23.980
ELAIS-N1,1601295,241.72598,55.50094,1.3255,22.474
ELAIS-N1,1949458,239.51089,54.17084,1.4295,22.852
ELAIS-N1,206613,245.72637,54.74803,0.8057,22.085
ELAIS-N1,1438756,241.56339,54.53414,0.4488,20.772
ELAIS-N1,2801379,240.96213,53.98953,0.5540,21.096
ELAIS-N1,286578,240.65858,54.52063,0.4188,22.266
ELAIS-N1,2570827,244.22036,53.60687,1.1366,22.841
ELAIS-N1,122154,242.81530,55.58677,1.5966,23.617
ELAIS-N1,1386397,243.15439,54.85672,0.7827,22.585
ELAIS-N1,1156175,240.91777,54.97653,1.2633,23.274
ELAIS-N1,1497987,243.25483,53.06781,1.1655,23.323
ELAIS-N1,1545307,240.17495,54.61614,0.6952,22.152
ELAIS-N1,2175007,244.75094,54.09960,1.0731,23.937
ELAIS-N1,2691209,241.68753,55.89727,1.4393,23.668
ELAIS-N1,204250,240.60924,54.03706,0.4255,18.876
ELAIS-N1,2971431,242.63795,55.65817,0.6507,22.839
ELAIS-N1,488655,242.62195,56.26801,1.0553,23.227
ELAIS-N1,1382361,240.77075,55.49188,1.1145,23.946
ELAIS-N1,2053862,245.15988,53.65750,1.1124,23.128
ELAIS-N1,1652272,239.94855,54.48787,1.5379,22.582
ELAIS-N1,1286555,244.34958,54.43142,0.5226,23.278
ELAIS-N1,2970827,244.48010,54.32023,1.1470,23.398
ELAIS-N1,2568409,244.51711,53.54804,1.1290,22.514
ELAIS-N1,1932907,241.52125,54.62919,0.3707,19.876
ELAIS-N1,1964255,243.75818,54.18441,0.9912,22.781
ELAIS-N1,2766764,242.68452,56.26771,1.7204,23.884
ELAIS-N1,1297492,240.09259,54.10204,0.9923,21.850
ELAIS-N1,614005,239.45162,54.70059,1.0733,22.946
ELAIS-N1,2439727,243.58159,54.96764,1.6465,23.257
ELAIS-N1,1622792,245.36803,55.22606,0.5111,20.510
ELAIS-N1,47311,244.04118,54.65675,1.3582,22.347
ELAIS-N1,1937640,241.48302,54.60409,1.3714,23.449
ELAIS-N1,1489415,242.00108,55.46643,1.3898,23.683
ELAIS-N1,1398109,242.25126,54.05167,1.3854,23.974
ELAIS-N1,1815722,242.34796,54.04013,0.6480,21.176
ELAIS-N1,879717,245.22760,55.68351,0.7727,22.848
ELAIS-N1,1025933,244.05923,54.41106,1.1325,21.811
ELAIS-N1,1264822,243.09244,54.57795,1.1125,22.231
ELAIS-N1,855116,245.16567,53.61026,1.6808,23.982
ELAIS-N1,2856044,244.37130,53.21710,1.0367,22.893
ELAIS-N1,2825891,242.18940,53.82523,0.5191,20.473
ELAIS-N1,473339,245.64398,54.25656,1.0444,21.915
ELAIS-N1,514579,243.02167,55.76917,1.4941,23.965
ELAIS-N1,1463577,245.65217,55.11967,1.3108,23.395
ELAIS-N1,1469968,244.26623,53.87437,0.9891,23.794
ELAIS-N1,2299883,239.95313,54.12184,0.3295,21.849
ELAIS-N1,2921088,242.04910,55.28809,0.6339,23.535
ELAIS-N1,2852308,243.32032,54.59286,1.2894,23.498
ELAIS-N1,3000185,243.45344,54.80871,1.4247,22.688
ELAIS-N1,3016980,244.07780,54.02409,0.5983,22.378
ELAIS-N1,1030937,240.63854,55.32237,1.1388,23.803
ELAIS-N1,3333944,239.90694,54.36423,0.9989,23.853
ELAIS-N1,3018349,245.75241,54.26090,1.4491,23.152
ELAIS-N1,2364467,243.21851,54.12470,0.6008,23.514
ELAIS-N1,2591377,241.92129,54.15028,0.7066,22.201
ELAIS-N1,3109913,240.46472,55.05976,1.4336,23.993
ELAIS-N1,639771,240.97406,55.53827,0.7628,23.176
ELAIS-N1,109756,241.98952,54.74876,0.6938,21.466
ELAIS-N1,1453975,244.61232,54.08782,0.8125,21.465
ELAIS-N1,2200971,242.13105,56.02761,0.4993,23.327
ELAIS-N1,3302248,242.64365,53.80141,1.6492,23.676
ELAIS-N1,590060,244.43958,55.50256,0.4798,21.539
ELAIS-N1,363314,242.16265,53.16265,1.1469,23.343
ELAIS-N1,1441789,242.45990,55.10902,1.9352,23.136
ELAIS-N1,1717294,243.01658,56.27881,0.5161,21.518
ELAIS-N1,1543573,242.54296,52.66820,0.9460,20.684
ELAIS-N1,531103,241.86830,56.31297,1.1473,22.961
ELAIS-N1,1857269,243.46436,54.88043,1.0676,22.555
ELAIS-N1,2706295,243.25968,55.72801,0.7529,20.477
ELAIS-N1,878000,240.91638,54.90207,0.6973,23.510
ELAIS-N1,1419287,242.09638,56.00583,1.2051,22.803
ELAIS-N1,965505,242.47358,55.32470,1.0293,22.510
ELAIS-N1,1077427,244.37384,53.88458,1.5197,23.949
ELAIS-N1,778929,244.36335,54.44920,0.5263,20.523
ELAIS-N1,1949093,241.14480,53.00652,0.9326,22.266
ELAIS-N1,1240433,242.76181,54.21704,0.7353,21.128
ELAIS-N1,694997,244.55164,54.94030,1.0550,21.482
ELAIS-N1,512579,242.76509,52.59796,0.6550,23.999
ELAIS-N1,2868310,242.17699,52.90950,1.8224,23.653
ELAIS-N1,2507253,241.74301,54.34128,1.0898,23.180
ELAIS-N1,1178097,242.92105,56.53151,0.8589,21.831
ELAIS-N1,1065422,244.22871,52.67467,0.5183,20.605
ELAIS-N1,2865788,240.04476,55.41903,1.0678,22.257
ELAIS-N1,2491320,244.94092,54.80862,1.8049,23.369
ELAIS-N1,3175766,242.86555,56.07771,1.0834,22.751
ELAIS-N1,3306923,241.72551,54.59363,1.4443,23.061
ELAIS-N1,1193378,242.66153,54.91619,1.0184,22.133
ELAIS-N1,2919717,240.88409,53.90677,0.9845,22.375
ELAIS-N1,2495045,245.32012,54.98709,1.9158,23.131
ELAIS-N1,1149393,241.94733,54.12447,1.0192,23.301
ELAIS-N1,2555673,242.21971,52.69336,0.9556,23.143
ELAIS-N1,1207350,241.39904,53.76456,0.6137,23.796
ELAIS-N1,1920216,242.90163,53.56069,1.7152,23.797
ELAIS-N1,1624904,245.18759,54.53316,0.6259,20.000
ELAIS-N1,2143523,241.96483,55.23893,1.2919,23.824
ELAIS-N1,3138516,239.91962,53.92069,0.2656,19.644
ELAIS-N1,616019,244.77701,55.84779,0.9174,21.549
ELAIS-N1,198200,244.69686,54.51019,0.1680,18.766
ELAIS-N1,466117,240.11584,53.19939,0.4924,21.796
ELAIS-N1,1831902,240.44507,54.02063,1.4296,23.383
ELAIS-N1,1602688,245.55590,54.63727,0.9390,21.070
ELAIS-N1,3265596,243.75703,56.36508,0.5112,21.657
ELAIS-N1,883562,242.18142,53.10187,0.2478,20.905
ELAIS-N1,3088657,239.19949,54.23423,1.2725,22.416
ELAIS-N1,644781,242.13013,54.44890,1.1012,23.061
ELAIS-N1,3344086,240.41233,53.15164,1.0924,22.878
ELAIS-N1,1074688,245.66452,54.25990,1.4335,23.181
ELAIS-N1,3108180,241.72143,56.33782,1.0006,21.228
ELAIS-N1,2163697,243.10100,54.00172,0.7579,21.673
ELAIS-N1,2224166,240.32271,53.92140,0.9811,22.536
ELAIS-N1,3125042,245.37404,53.81128,1.8045,23.693
ELAIS-N1,459036,241.42780,53.87407,1.4522,23.521
ELAIS-N1,1352293,243.49119,52.59748,1.2289,23.737
ELAIS-N1,2448233,240.75530,55.36699,0.4792,22.899
ELAIS-N1,2147081,243.28547,52.70843,1.2409,23.189
ELAIS-N1,188087,243.51888,52.88626,0.4440,22.707
ELAIS-N1,957254,245.16700,55.16711,1.1399,23.329
ELAIS-N1,143297,245.50647,53.57248,1.3091,23.602
ELAIS-N1,602334,243.90422,55.63368,0.7785,23.454
ELAIS-N1,2479258,241.50343,52.63745,0.9512,22.273
ELAIS-N1,1830478,243.26591,52.80140,0.5961,22.478
ELAIS-N1,1344406,245.11330,55.12125,1.4911,23.862
ELAIS-N1,2177309,244.00410,53.66831,1.2453,23.991
ELAIS-N1,2869628,244.17975,56.12463,0.7396,21.689
ELAIS-N1,2533798,245.20422,54.07517,1.1633,22.593
ELAIS-N1,617339,243.16451,55.64650,0.8744,23.416
ELAIS-N1,348271,244.10531,56.35078,0.8438,21.004
ELAIS-N1,1811127,240.82712,55.34445,1.1896,22.272
ELAIS-N1,2056542,239.64815,53.93072,1.1946,23.423
ELAIS-N1,1975319,242.41358,54.11989,0.9896,21.839
ELAIS-N1,2497658,244.57532,55.12006,0.7954,21.411
ELAIS-N1,2559536,243.82869,54.29296,1.2362,23.043
ELAIS-N1,252698,243.24280,54.38741,1.0643,21.215
ELAIS-N1,2932821,241.55809,56.36244,1.4645,22.654
ELAIS-N1,1974451,244.00672,55.08616,0.4952,20.490
ELAIS-N1,3152779,241.20558,55.81379,0.8435,23.854
ELAIS-N1,2750242,244.13681,53.01869,0.8459,22.877
ELAIS-N1,517067,240.49119,54.73735,0.9195,22.993
ELAIS-N1,650990,242.09407,54.41079,1.6239,23.750
ELAIS-N1,1192610,240.47409,53.76412,0.6276,22.607
ELAIS-N1,3316710,241.25869,56.27933,1.2467,23.667
ELAIS-N1,2769907,240.62607,55.05028,1.3062,23.758
ELAIS-N1,917887,244.14589,54.17277,1.2793,22.830
ELAIS-N1,2973795,239.95478,55.30948,1.1221,23.592
ELAIS-N1,144646,241.33746,53.89688,0.1971,19.564
ELAIS-N1,1428552,241.53294,55.33492,0.3010,18.388
ELAIS-N1,303072,243.71162,55.35976,1.3864,23.220
ELAIS-N1,1276713,243.29916,56.23318,1.5046,23.263
ELAIS-N1,2849645,240.97293,53.64437,1.2535,22.681
ELAIS-N1,1763501,243.53006,55.68115,1.3356,23.606
ELAIS-N1,564213,240.53021,53.44057,0.6720,20.623
ELAIS-N1,314201,241.62213,55.82651,0.9914,22.388
ELAIS-N1,1113190,245.84339,54.07236,1.5491,23.363
ELAIS-N1,484018,241.99971,54.94179,0.4908,21.432
ELAIS-N1,3102732,240.56764,55.98023,0.9348,21.855
ELAIS-N1,2071998,244.75394,53.53600,1.1424,23.840
ELAIS-N1,1641820,240.65662,52.94549,0.3253,21.259
ELAIS-N1,1795576,242.03241,52.68166,0.5764,19.952
ELAIS-N1,320906,243.93996,55.83353,1.0825,22.447
ELAIS-N1,2960603,240.79976,53.24846,1.2388,23.654
ELAIS-N1,2609985,240.92501,53.18797,1.0291,23.363
ELAIS-N1,176078,241.80406,54.87501,0.9758,22.020
ELAIS-N1,1663473,245.82670,54.63632,1.4386,23.190
ELAIS-N1,33762,244.58280,55.65862,1.0749,22.924
