field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,2995270,242.98819,54.64073,0.5822,22.908
ELAIS-N1,3005983,240.07530,55.34730,0.6630,23.224
ELAIS-N1,3018155,244.53419,54.88040,0.5626,22.697
ELAIS-N1,553124,244.41647,55.21567,0.9417,23.640
ELAIS-N1,3326566,244.14862,54.62874,0.5787,22.902
ELAIS-N1,723788,243.49273,55.69410,1.0092,23.914
ELAIS-N1,1609355,243.67980,54.66470,0.9022,23.695
ELAIS-N1,101764,240.89951,54.18491,0.6929,23.266
ELAIS-N1,2258351,245.46959,55.29944,0.4718,22.880
ELAIS-N1,206272,243.91900,53.12707,0.9627,23.894
ELAIS-N1,2286787,242.73503,55.33533,0.7166,23.492
ELAIS-N1,2161349,241.19704,54.66470,0.9335,23.656
ELAIS-N1,2871892,242.76976,54.61675,0.5030,22.507
ELAIS-N1,2990994,242.08658,54.19691,0.6490,22.898
ELAIS-N1,1147211,243.48826,53.37980,0.7611,23.454
ELAIS-N1,2384488,242.65283,54.49685,0.6308,23.231
ELAIS-N1,2834854,242.93756,53.15115,0.6635,23.703
ELAIS-N1,1648300,241.92901,56.20772,0.6974,23.472
ELAIS-N1,2574332,240.16369,54.91633,0.7585,23.354
ELAIS-N1,878094,240.88410,54.76058,0.5103,22.407
ELAIS-N1,994786,242.95404,53.60830,0.8160,23.774
ELAIS-N1,801119,242.51311,54.60476,0.5538,22.824
ELAIS-N1,20449,240.65668,54.74860,0.6144,23.226
ELAIS-N1,3215505,244.11814,55.75386,0.7901,23.746
ELAIS-N1,2909067,242.69613,54.95227,0.8597,23.533
ELAIS-N1,620957,242.63854,52.65721,0.6485,23.641
ELAIS-N1,1242213,241.78370,54.97622,0.6984,23.596
ELAIS-N1,439984,244.00232,55.00017,0.4704,22.410
ELAIS-N1,2850272,240.90066,53.03074,0.3419,21.853
ELAIS-N1,224789,240.77785,55.33533,0.6816,23.316
ELAIS-N1,1325970,242.74066,53.30761,0.6374,23.175
ELAIS-N1,1407594,242.48554,55.93308,0.9430,23.792
ELAIS-N1,10964,243.67195,54.88040,0.7907,23.912
ELAIS-N1,1901094,240.45813,54.66470,0.6101,22.809
ELAIS-N1,1591637,242.87213,54.04085,0.0939,19.599
ELAIS-N1,595758,240.38208,53.04278,0.8158,23.520
ELAIS-N1,2263207,239.10038,53.78859,0.6608,23.436
ELAIS-N1,3263958,242.47947,56.13610,0.4883,22.681
ELAIS-N1,1133138,241.62644,55.89724,0.6934,23.314
ELAIS-N1,3183841,242.77079,53.98080,0.4442,22.406
ELAIS-N1,231342,244.55752,54.59277,0.6721,23.599
ELAIS-N1,2871930,243.56401,55.39515,0.4879,22.423
ELAIS-N1,1231260,243.65025,54.66470,0.9716,23.771
ELAIS-N1,408856,243.60253,54.28092,0.8419,23.522
ELAIS-N1,3115864,242.07556,54.52083,0.7081,23.515
ELAIS-N1,2028708,240.45571,53.68043,1.0371,23.829
ELAIS-N1,63460,243.95411,53.28354,0.5222,22.703
ELAIS-N1,3151348,240.60660,54.11289,0.8902,23.818
ELAIS-N1,1799238,243.61404,54.79653,0.8801,23.605
ELAIS-N1,400198,244.18841,53.94477,0.6616,23.364
ELAIS-N1,234538,244.28360,54.77256,0.9256,23.830
ELAIS-N1,2642144,245.18118,55.10794,0.7885,23.526
ELAIS-N1,1543752,239.90903,53.60830,0.6970,23.047
ELAIS-N1,3180117,242.69111,52.74159,0.3844,22.668
ELAIS-N1,505435,243.49179,53.21133,0.8589,23.987
ELAIS-N1,2643771,243.24949,56.13610,1.0902,23.807
ELAIS-N1,2714258,244.03034,52.83800,0.9684,23.765
ELAIS-N1,2148121,243.02360,54.59277,0.5683,22.756
ELAIS-N1,356854,242.38636,55.82556,0.6005,23.304
ELAIS-N1,1673918,243.85772,55.69410,0.8084,23.925
ELAIS-N1,1283507,242.53029,52.57281,0.1580,20.703
ELAIS-N1,400417,244.50739,54.66470,0.9382,23.587
ELAIS-N1,2981195,242.46739,53.48806,0.6542,23.428
ELAIS-N1,2630219,244.32420,53.11503,0.7899,23.491
ELAIS-N1,3000632,244.34923,55.98086,0.7451,23.590
ELAIS-N1,3010142,239.13906,54.61675,0.8469,23.786
ELAIS-N1,786490,241.10156,52.80185,0.8144,23.660
ELAIS-N1,1497615,240.65598,54.16090,0.8057,23.659
ELAIS-N1,1788969,242.91531,54.22092,0.8311,23.476
ELAIS-N1,2525360,242.91889,55.25157,0.4470,22.238
ELAIS-N1,403010,241.26321,56.00475,0.7073,23.662
ELAIS-N1,857914,243.31446,54.11289,0.8632,23.749
ELAIS-N1,58158,242.68873,55.11991,0.8809,23.427
ELAIS-N1,2518975,242.78816,56.52988,0.9699,23.839
ELAIS-N1,3186539,243.94658,55.03610,0.7777,23.502
ELAIS-N1,145190,243.58946,53.64437,0.7282,23.293
ELAIS-N1,3155166,245.01657,55.00017,0.3731,21.858
ELAIS-N1,2439235,243.04154,54.80851,0.9378,23.985
ELAIS-N1,1501270,245.33257,54.58078,0.7107,23.392
ELAIS-N1,2840867,239.09016,54.60476,0.6378,22.941
ELAIS-N1,708527,242.99138,53.59628,0.3285,22.320
ELAIS-N1,417768,242.29107,53.72851,0.7954,23.830
ELAIS-N1,1061857,244.58262,56.12416,0.7897,23.581
ELAIS-N1,2385893,241.07584,56.23160,0.9185,23.998
ELAIS-N1,3172445,242.13931,54.94029,0.6422,23.122
ELAIS-N1,2160003,243.95992,54.97622,0.8392,23.386
ELAIS-N1,1536676,244.25424,54.43688,0.8479,23.593
ELAIS-N1,2989529,242.91442,53.34371,0.4234,22.351
ELAIS-N1,862057,243.14096,55.95697,0.6162,23.258
ELAIS-N1,1280690,245.15625,55.49084,0.8521,23.756
ELAIS-N1,3010583,242.19844,52.80185,0.4682,22.322
ELAIS-N1,2994663,242.93063,55.39515,0.9599,23.630
ELAIS-N1,848786,241.25282,53.99281,0.6496,23.317
ELAIS-N1,237276,239.76586,55.07202,0.4074,22.068
ELAIS-N1,3106405,242.78116,55.67019,0.8020,23.745
ELAIS-N1,755207,241.38889,54.26892,0.3342,21.603
ELAIS-N1,1899748,244.11346,54.92831,1.0571,23.971
ELAIS-N1,2630619,244.83270,53.54818,0.5179,22.683
ELAIS-N1,3070808,240.84529,56.06446,0.8070,23.861
ELAIS-N1,196883,240.38296,55.01215,0.8648,23.503
ELAIS-N1,1312484,245.01838,55.29944,0.7494,23.865
ELAIS-N1,2645561,242.50085,55.71800,0.6950,23.413
ELAIS-N1,1272731,245.71167,55.11991,0.9068,23.630
ELAIS-N1,1207557,241.77966,55.09596,0.7452,23.514
ELAIS-N1,580453,242.51489,52.91029,0.6972,23.626
ELAIS-N1,3113549,240.16661,53.39183,0.4043,22.454
ELAIS-N1,2441754,241.26847,53.03074,0.5289,22.553
ELAIS-N1,2448102,243.50496,56.12416,0.8508,23.967
ELAIS-N1,3245973,239.76207,55.64628,0.6356,23.016
ELAIS-N1,882984,239.21839,55.04807,0.4336,22.228
ELAIS-N1,2140308,241.19944,52.93439,0.7856,23.486
ELAIS-N1,1534556,242.93478,53.11503,0.6589,23.567
ELAIS-N1,2957396,239.58979,54.78455,0.3322,21.817
ELAIS-N1,1216389,241.56061,55.56259,0.8017,23.907
ELAIS-N1,1800654,240.95776,54.55680,0.7280,23.342
ELAIS-N1,3293206,239.20290,53.94477,0.8680,23.794
ELAIS-N1,1786549,240.94639,54.49685,0.9390,23.863
ELAIS-N1,396111,241.16046,53.51211,0.6399,23.522
ELAIS-N1,2389791,240.73871,52.94643,0.5465,22.858
ELAIS-N1,1928317,240.84249,52.95848,1.0673,23.968
ELAIS-N1,2895664,245.69463,55.01215,0.5950,23.151
ELAIS-N1,3013420,244.42090,52.97052,1.0224,23.814
ELAIS-N1,803810,246.07353,54.48485,0.2597,21.489
ELAIS-N1,1049114,244.10284,52.81390,0.5257,22.862
ELAIS-N1,3271351,241.26822,54.16090,0.7471,23.346
ELAIS-N1,2900527,243.50440,54.37690,0.6535,23.240
ELAIS-N1,1355788,241.95786,56.17191,0.5525,22.791
ELAIS-N1,1802624,240.16870,53.86068,0.7466,23.648
ELAIS-N1,2875771,241.12961,54.07687,0.7548,23.601
ELAIS-N1,2876604,241.77845,53.45197,0.7124,22.985
ELAIS-N1,391346,241.51418,55.65824,0.7360,23.479
ELAIS-N1,2865256,245.14993,55.58651,0.8629,23.758
ELAIS-N1,832424,239.99502,55.08399,0.8233,23.722
ELAIS-N1,1889196,241.17525,53.68043,0.8246,23.660
ELAIS-N1,2809723,242.74668,53.25947,0.3814,22.441
ELAIS-N1,594378,242.17590,53.06687,0.3837,22.039
ELAIS-N1,1416246,243.01179,54.56879,0.5925,22.433
ELAIS-N1,306676,239.73385,55.35926,0.9114,23.778
ELAIS-N1,1915820,240.54416,53.16318,0.8103,23.807
ELAIS-N1,2099828,240.14776,55.87335,0.5582,23.203
ELAIS-N1,397286,245.07360,53.70447,0.9149,23.664
ELAIS-N1,2049464,240.98384,53.33167,0.8709,23.808
ELAIS-N1,2872761,243.18738,54.89238,1.0606,23.897
ELAIS-N1,1442757,240.89588,53.63235,0.6213,23.528
ELAIS-N1,1326922,241.47129,56.08834,0.8661,23.535
ELAIS-N1,38535,242.07576,55.56259,0.8065,23.379
ELAIS-N1,1261652,242.39508,54.60476,0.7990,23.461
ELAIS-N1,2419191,243.82714,55.03610,0.7762,23.472
ELAIS-N1,694393,241.07143,55.75386,0.4623,22.622
ELAIS-N1,654964,244.28779,54.05285,0.2875,21.876
ELAIS-N1,2897079,244.72603,53.53616,0.9353,23.976
ELAIS-N1,1273033,240.25915,55.77776,0.4768,22.630
ELAIS-N1,2134703,240.43294,55.86140,0.6398,22.945
ELAIS-N1,2588326,242.89548,52.97052,0.6200,22.941
ELAIS-N1,2896831,241.19822,54.70066,0.7304,23.836
ELAIS-N1,1906654,241.08939,54.68867,0.5463,23.196
ELAIS-N1,2976745,241.83151,53.95678,0.5011,22.479
