Source_Name,RA_deg,DEC_deg,Total_flux_mJy,Peak_flux_mJy
ILTJ162032.26+533203.4,245.13443,53.53429,0.9356,0.7822
ILTJ162030.54+530715.9,245.12725,53.12109,1.4658,1.0909
ILTJ162030.55+531245.4,245.12729,53.21263,1.9019,0.6720
ILTJ162031.70+534943.9,245.13208,53.82889,0.9679,0.8238
ILTJ162030.43+533458.1,245.12678,53.58283,3.8661,1.4511
ILTJ162030.95+534614.7,245.12895,53.77075,0.6491,0.6660
ILTJ162030.13+533053.3,245.12554,53.51482,0.7935,0.5007
ILTJ162028.78+530617.3,245.11991,53.10481,1.7164,0.9469
ILTJ162029.13+531417.0,245.12135,53.23808,1.6267,1.2439
ILTJ162027.55+534209.0,245.11479,53.70250,434.5361,150.3043
ILTJ162029.44+533619.3,245.12268,53.60537,1.2587,1.0358
ILTJ162030.10+535248.0,245.12544,53.88000,0.8675,0.5615
ILTJ162029.27+533734.6,245.12198,53.62628,1.0107,0.7273
ILTJ162026.65+530704.9,245.11106,53.11804,0.6433,0.5153
ILTJ162027.49+535110.8,245.11454,53.85301,0.7209,0.6560
ILTJ162024.63+530723.3,245.10262,53.12314,0.6401,0.5639
ILTJ162024.17+532240.5,245.10070,53.37792,2.5921,2.0141
ILTJ162019.77+530851.5,245.08239,53.14765,67.1652,7.4886
ILTJ162022.70+531835.7,245.09456,53.30992,1.2395,1.0406
ILTJ162023.19+533825.5,245.09661,53.64044,0.4388,0.4873
ILTJ162021.83+532441.3,245.09097,53.41150,0.8948,0.8511
ILTJ162021.02+531157.6,245.08759,53.19934,0.7923,0.5317
ILTJ162021.86+534527.3,245.09110,53.75760,1.4320,0.7325
ILTJ162019.95+535132.5,245.08313,53.85905,1.3116,0.7778
ILTJ162017.59+530331.1,245.07328,53.05866,0.4520,0.5625
ILTJ162018.52+533231.2,245.07718,53.54201,0.6721,0.4626
ILTJ162018.16+532835.5,245.07565,53.47653,0.7054,0.5874
ILTJ162018.49+535203.3,245.07706,53.86759,1.2954,0.8557
ILTJ162014.12+530541.5,245.05882,53.09487,12.2368,4.9969
ILTJ162014.27+532029.8,245.05946,53.34161,2.0221,1.2350
ILTJ162011.53+531006.0,245.04805,53.16836,4.0046,1.3187
ILTJ162011.94+534813.7,245.04975,53.80382,0.5089,0.4361
ILTJ162010.18+533758.0,245.04242,53.63279,0.8724,0.4504
ILTJ162009.64+532853.7,245.04018,53.48161,0.9474,0.5860
ILTJ162009.01+533823.2,245.03756,53.63980,0.9462,0.8510
ILTJ162008.76+533743.4,245.03650,53.62874,0.6051,0.6606
ILTJ162008.72+535325.4,245.03632,53.89039,0.5537,0.5021
ILTJ162007.54+533441.0,245.03143,53.57807,1.5250,0.6989
ILTJ162004.50+533555.3,245.01874,53.59869,73.3602,9.4263
ILTJ162005.25+533430.4,245.02188,53.57513,4.6517,1.3649
ILTJ162004.56+531956.9,245.01898,53.33248,9.1876,1.3470
ILTJ162002.98+530135.9,245.01244,53.02666,0.7003,0.5019
ILTJ162003.32+532631.2,245.01385,53.44201,1.8575,0.7177
