evening_date,dark_hours,observable_hours
2029-10-05,9.75,1.75
2029-10-06,9.75,1.75
2029-10-07,9.75,1.50
2029-10-08,9.75,1.50
2029-10-09,9.75,1.50
2029-10-10,9.75,1.25
2029-10-11,9.75,1.25
2029-10-12,9.75,1.25
2029-10-13,9.75,1.25
2029-10-14,9.75,1.00
2029-10-15,10.00,1.25
2029-10-16,10.00,1.25
2029-10-17,10.00,1.25
2029-10-18,10.00,1.00
2029-10-19,10.00,1.00
2029-10-20,10.00,1.00
2029-10-21,10.00,1.00
2029-10-22,10.00,0.75
2029-10-23,10.00,0.75
2029-10-24,10.25,0.75
2029-10-25,10.25,0.75
2029-10-26,10.25,0.50
2029-10-27,10.25,0.50
2029-10-28,10.25,0.50
2029-10-29,10.25,0.25
2029-10-30,10.25,0.25
2029-10-31,10.50,0.50
2029-11-01,10.50,0.50
2029-11-02,10.50,0.25
2029-11-03,10.50,0.25
2029-11-04,10.50,0.25
2029-11-05,10.50,0.25
2029-11-06,10.50,0.00
2029-11-07,10.50,0.00
2029-11-08,10.50,0.00
2029-11-09,10.50,0.00
2029-11-10,10.50,0.00
2029-11-11,10.50,0.00
2029-11-12,10.50,0.00
2029-11-13,10.75,0.00
2029-11-14,10.75,0.00
2029-11-15,10.75,0.00
2029-11-16,10.75,0.00
2029-11-17,10.75,0.00
2029-11-18,10.75,0.00
2029-11-19,10.75,0.00
2029-11-20,10.75,0.00
2029-11-21,10.75,0.00
2029-11-22,10.75,0.00
2029-11-23,10.75,0.00
2029-11-24,10.75,0.00
2029-11-25,10.75,0.00
2029-11-26,10.75,0.00
2029-11-27,10.75,0.00
2029-11-28,10.75,0.00
2029-11-29,10.75,0.00
2029-11-30,10.75,0.00
2029-12-01,10.75,0.00
2029-12-02,10.75,0.00
2029-12-03,11.00,0.00
2029-12-04,11.00,0.00
2029-12-05,11.00,0.00
2029-12-06,11.00,0.00
2029-12-07,11.00,0.00
2029-12-08,11.00,0.00
2029-12-09,11.00,0.00
2029-12-10,11.00,0.00
2029-12-11,11.00,0.25
2029-12-12,11.00,0.25
2029-12-13,11.00,0.25
2029-12-14,11.00,0.25
2029-12-15,11.00,0.50
2029-12-16,11.00,0.50
2029-12-17,11.00,0.50
2029-12-18,11.00,0.50
2029-12-19,11.00,0.75
2029-12-20,11.00,0.75
2029-12-21,11.00,0.75
2029-12-22,11.00,0.75
2029-12-23,11.00,1.00
2029-12-24,11.00,1.00
2029-12-25,11.00,1.00
2029-12-26,11.00,1.25
2029-12-27,11.00,1.25
2029-12-28,11.00,1.25
2029-12-29,11.00,1.25
2029-12-30,11.00,1.50
2029-12-31,11.00,1.50
