id,type,z,host_Z,p_sn,p_host,host_target,host_visits_needed_pfs,host_hours_needed_desi,host_hours_done,observed,host_completed
2030,Ia,0.50533,24.424,0,0,1,34,142.8,10.0,1,0
2031,Ia,1.12016,22.489,5,5,1,1,4.2,0.0,1,0
2032,Ia,0.89605,20.884,5,5,1,1,4.2,4.0,0,0
2033,Ia,0.33963,19.302,2,2,1,1,4.2,0.0,1,0
2034,Ia,0.63982,21.100,0,0,1,1,4.2,6.0,0,1
2035,Ia,1.00711,22.178,4,4,1,1,4.2,4.0,0,0
2036,Ia,0.75982,21.240,3,3,1,1,4.2,6.0,0,1
2037,Ia,0.80691,22.536,3,3,1,2,8.4,6.0,0,0
2038,Ia,0.61144,21.937,4,4,1,1,4.2,6.0,0,1
2039,Ia,0.52776,20.808,5,5,1,1,4.2,0.0,0,0
2040,Ia,0.45766,19.875,4,4,1,1,4.2,6.0,0,1
2041,Ia,1.08135,23.376,1,1,1,5,21.0,14.0,0,0
2042,Ia,0.36935,20.955,2,2,1,1,4.2,6.0,1,1
2043,Ia,0.70870,22.251,4,4,1,1,4.2,2.0,0,0
2044,Ia,0.55749,20.973,5,5,1,1,4.2,0.0,0,0
2045,Ia,0.48056,22.904,1,1,1,3,12.6,10.0,1,0
2046,Ia,0.83759,23.396,0,0,1,6,25.2,18.0,0,0
2047,Ia,0.34531,21.460,-1,-1,1,1,4.2,0.0,0,0
2048,Ia,0.91193,22.463,0,0,1,1,4.2,4.0,1,0
2049,Ia,0.61325,24.285,3,3,1,26,109.2,6.0,0,0
2050,Ia,0.98447,23.440,1,1,1,6,25.2,2.0,1,0
2051,Ia,0.96461,23.054,2,2,1,3,12.6,14.0,0,1
2052,Ia,0.66093,21.006,3,3,1,1,4.2,6.0,0,1
2053,Ia,0.33116,20.085,-1,-1,1,1,4.2,0.0,0,0
2054,Ia,0.84677,23.528,1,1,1,7,29.4,14.0,0,0
2055,Ia,0.59976,23.963,5,5,1,15,63.0,6.0,1,0
2056,Ia,0.73716,22.987,2,2,1,3,12.6,14.0,0,1
2057,Ia,0.80053,999.000,5,-1,0,-1,-1.0,0.0,0,0
2058,Ia,0.71752,20.111,1,1,1,1,4.2,2.0,0,0
2059,Ia,0.85114,21.585,0,0,1,1,4.2,0.0,0,0
2060,Ia,0.96142,21.796,5,5,1,1,4.2,6.0,0,1
2061,Ia,0.93565,21.391,0,-1,1,1,4.2,0.0,0,0
2062,Ia,1.16071,24.231,3,3,1,23,96.6,12.0,0,0
2063,Ia,0.52069,20.762,5,5,1,1,4.2,6.0,1,1
2064,Ia,0.88508,23.120,5,5,1,4,16.8,12.0,0,0
2065,Ia,0.82971,21.431,-1,-1,1,1,4.2,0.0,0,0
2066,Ia,0.82658,21.999,1,1,1,1,4.2,6.0,0,1
2067,Ia,0.68576,22.998,1,1,1,3,12.6,4.0,0,0
2068,Ia,0.72024,21.041,2,2,1,1,4.2,6.0,0,1
2069,Ia,0.24786,23.292,2,2,1,5,21.0,0.0,0,0
2070,Ia,0.28691,22.014,4,4,1,1,4.2,0.0,0,0
2071,Ia,0.49641,999.000,1,-1,0,-1,-1.0,0.0,1,0
2072,Ia,0.59486,21.902,3,3,1,1,4.2,6.0,0,1
2073,Ia,0.79068,20.893,0,0,1,1,4.2,0.0,0,0
2074,Ia,0.23478,20.255,5,5,1,1,4.2,6.0,0,1
2075,Ia,0.38008,19.603,3,3,1,1,4.2,6.0,0,1
2076,Ia,0.66255,21.782,0,0,1,1,4.2,0.0,1,0
2077,Ia,0.52000,20.846,1,1,1,1,4.2,6.0,0,1
2078,Ia,0.59887,20.275,3,3,1,1,4.2,0.0,0,0
2079,Ia,0.70208,26.313,5,5,0,-1,-1.0,0.0,1,0
2080,Ia,0.72982,21.232,3,3,1,1,4.2,6.0,0,1
2081,Ia,0.58488,22.656,2,2,1,2,8.4,10.0,0,1
2082,Ia,0.87773,22.214,5,5,1,1,4.2,6.0,0,1
2083,Ia,0.52685,23.565,2,2,1,7,29.4,4.0,0,0
2084,Ia,0.45094,21.164,0,0,1,1,4.2,4.0,1,0
2085,Ia,0.41806,19.469,0,0,1,1,4.2,2.0,1,0
2086,Ia,0.73038,20.452,0,0,1,1,4.2,6.0,0,1
2087,Ia,1.00526,27.047,4,4,0,-1,-1.0,0.0,0,0
